stock_symbol,stock_name
080032,長榮航富邦06購01
079840,長榮航元大08購01
084583,和碩國泰09購01  
084429,凌陽群益08購01  
5285,界霖            
082295,兆豐金元大07購01
082434,國巨國泰09購04  
081030,智易元富07購04  
2617,台航            
05854P,瑞昱凱基07售02  
05196P,立積元富06售01  
4564,元翎            
06808P,友達元大0A售04  
06440P,國泰金元富09售02
081964,台達電元大08購02
030400,技嘉元大0A購02  
080261,亞聚富邦07購01  
080768,長榮元大06購24  
083816,百和麥證07購01  
089324,長榮富邦0B購02  
030200,中環凱基0C購01  
05768P,台灣50群益08售02
05818P,信邦中信07售02  
079375,華新元大08購01  
083206,台積電統一0A購03
070783,台積電凱基06購04
084925,台積電元大09購11
088012,GIS兆豐0A購01   
087934,兆豐金統一0B購01
085133,全新統一0A購01  
079390,彩晶元大07購03  
089198,長榮凱基12購01  
03719C,台積電富邦08牛08
085145,盛群中信08購01  
086259,聚陽永豐09購01  
080267,中鋼富邦06購01  
089141,中壽元大09購01  
2501,國建            
030721,台玻元大0B購01  
085508,台表科凱基08購02
087072,台船統一0B購01  
087861,技嘉富邦0B購01  
081375,裕民中信07購01  
1434,福懋            
088481,中鋼富邦0B購01  
074967,奇鋐國泰06購01  
076098,滬深2X群益06購01
2033,佳大            
078990,中興電凱基08購01
080018,長榮航國票08購02
081386,長榮麥證08購01  
3712,永崴投控        
089159,群創元富09購09  
030361,全漢群益0A購01  
06016P,臺股指群益07售23
06530P,臺股指群益09售05
9919,康那香          
06731P,長榮群益0B售05  
085901,允強富邦0A購01  
080000,聯成國票07購02  
078951,全新元富0C購02  
081616,長榮元大08購06  
06595P,臺股指國票0A售15
080290,中鴻中信08購01  
082476,聯電統一08購07  
4720,德淵            
6120,達運            
1611,中電            
078650,惠特凱基07購01  
082636,中鋼富邦07購01  
086633,台光電凱基09購01
081382,台積電麥證07購02
081191,大亞元大07購02  
4999,鑫禾            
080266,台玻富邦08購01  
082227,臺股指群益07購09
086652,燁輝兆豐09購01  
080114,漢翔群益06購01  
081834,裕民凱基08購01  
067693,滬深2X中信04購02
069055,台表科元富08購01
070690,T50反1中信06購01
030493,惠特永豐0A購01  
085698,台郡國泰0A購01  
088329,技嘉元大0C購01  
078395,元金2X永豐06購01
077637,嘉聯益群益06購01
081935,廣宇國票08購01  
080905,大成鋼凱基0B購01
082839,T50反1富邦07購01
089257,長榮統一0B購03  
086260,台橡永豐09購01  
084822,聯電統一08購10  
087614,安集永豐09購01  
081665,正文永豐07購01  
088526,智易國泰0B購01  
05712P,世紀鋼元大07售06
087471,鴻海國泰0B購06  
088173,晶豪科元大09購05
081417,榮運群益08購01  
082224,帆宣群益07購01  
088684,鴻海元富0C購08  
1536,和大            
089781,長榮航凱基0B購02
06021P,聯電凱基08售07  
085535,台船永豐08購01  
1308,亞聚            
6505,台塑化          
079583,上銀統一08購03  
083559,臺股指元大07購25
081719,創意統一09購05  
00703,台新MSCI中國    
03553P,可成元富08售03  
068920,台積電元富08購10
083679,華邦電統一09購08
2530,華建            
085517,元石油富邦0A購01
085149,華邦電永豐09購01
082511,聯發科兆豐08購01
082694,台船凱基08購01  
081917,玉晶光凱基08購03
089547,聯詠國泰0B購02  
3504,揚明光          
079955,新興凱基06購01  
081782,台玻康和07購01  
081729,T50反1元大0A購04
3040,遠見            
030822,群創日盛0A購03  
079152,華新科元大06購09
074643,旺宏國票06購01  
082635,亞德客富邦09購01
084068,上銀元大07購06  
030709,群創群益0B購06  
087787,奇鋐永豐09購01  
080168,中鋼統一09購01  
086990,中鋼國票0A購01  
080346,台光電統一08購01
1795,美時            
077911,GIS凱基07購01   
3025,星通            
030496,東鋼兆豐0A購01  
030206,志聖凱基0A購01  
079781,聯茂永豐06購01  
082530,玉晶光群益09購01
087108,南亞科元大09購03
085015,南亞科元大08購02
087938,聯詠統一0B購05  
079505,永豐餘康和06購01
079373,華新元大06購02  
083233,廣宇中信08購01  
088812,偉詮電元大0B購01
087061,榮成群益09購01  
078022,臺股指中信06購06
073564,台積電元大07購01
076940,長榮富邦06購01  
083271,台玻元大07購05  
083747,界霖國票08購01  
06165P,中興電凱基08售03
089216,長榮群益0C購01  
06813P,臺股指元大0A售28
030172,國光生國泰0C購01
087008,台積電富邦0B購04
080219,聯成元大06購02  
085297,臺股指凱基08購15
085512,臺股指凱基09購19
05236P,聯電康和06售03  
05072P,中興電凱基05售03
087411,滬深2X統一0B購03
079974,萬海群益07購02  
075595,SGBR2X凱基05購01
088865,群創永豐09購06  
030502,群創兆豐0A購01  
083910,欣陸元大07購01  
089846,南亞科元大09購05
1321,大洋            
071900,晶技元富07購03  
079066,嘉晶國泰08購01  
